"Index"	"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"	"last.observed"
78	"Mongolia"	496	5.6	6.3	7.5	7.5	7.5	6.65	5.75	4.8407	3.2726	2.3957	2.0759	2.3731	2.442	2.3766	2.3195	2.2744	2.2338	2.1983	2.169	2.1449	2.1238	2.1053	2.09	2.0742	2.0626	2.0524	2.0429	2.0344	2.0258	2.0192	2013
79	"Republic of Korea"	410	5.05	6.332	5.63	4.708	4.281	2.919	2.234	1.601	1.696	1.514	1.219	1.2284	1.3006	1.3637	1.4196	1.476	1.5265	1.5721	1.6131	1.6499	1.6821	1.7088	1.7348	1.7573	1.7755	1.7922	1.8044	1.8171	1.8289	1.8388	2008
80	"Taiwan, Province of China"	158	5.9029	6.0602	5.2875	4.4125	3.3825	2.64	2.1975	1.845	1.7925	1.7275	1.43	1.2614	1.196	1.1815	1.2426	1.311	1.3801	1.4445	1.5065	1.5575	1.6033	1.6448	1.6817	1.7099	1.7331	1.756	1.7738	1.7895	1.8048	1.8183	2008
81	"South-Central Asia"	921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
82	"Central Asia"	5500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
83	"Kazakhstan"	398	4.406	4.555	4.431	3.671	3.459	3.06	2.957	3.033	2.55	2	2.006	2.5406	2.4485	2.3683	2.2991	2.2369	2.1838	2.1347	2.0931	2.0584	2.0251	2.003	1.9845	1.9659	1.9513	1.9401	1.9296	1.9239	1.9187	1.9163	2008
84	"Kyrgyzstan"	417	4.509	4.834	5.39	5.011	4.726	4.054	4.101	4.019	3.612	2.986	2.5	2.78	2.6351	2.5117	2.4085	2.3259	2.2463	2.1766	2.1223	2.073	2.0324	1.9993	1.9743	1.956	1.9416	1.9265	1.917	1.9084	1.9051	1.9016	2008
85	"Tajikistan"	762	5.995	6.199	6.302	6.719	6.834	5.897	5.543	5.406	4.877	4.29	3.705	3.68	3.85	3.6028	3.3895	3.2042	3.0448	2.9066	2.7831	2.6779	2.5885	2.5099	2.4456	2.3849	2.3363	2.2936	2.2542	2.2242	2.1942	2.1751	2013
86	"Turkmenistan"	795	5.995	6.015	6.752	6.343	6.187	5.324	4.79	4.55	4.03	3.03	2.755	2.499	2.3335	2.2003	2.0961	2.0069	1.9408	1.8828	1.842	1.8153	1.7963	1.7853	1.7838	1.7852	1.7916	1.7972	1.8055	1.8111	1.8197	1.8307	2008
87	"Uzbekistan"	860	5.97	6.5	6.8	6.6	6.3	5.584	4.726	4.4	3.88	3.05	2.55	2.49	2.321	2.1819	2.0711	1.9796	1.9074	1.8532	1.8126	1.7853	1.7684	1.761	1.7642	1.7671	1.7785	1.7882	1.7961	1.811	1.8202	1.8324	2008
88	"Southern Asia"	5501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
89	"Afghanistan"	4	7.6706	7.6706	7.6706	7.6706	7.6706	7.6706	7.6706	7.6901	7.7035	7.8803	7.3943	6.3328	4.9985	4.6	4.2582	3.9591	3.6982	3.4755	3.2773	3.1058	2.9656	2.8354	2.7263	2.6305	2.549	2.4758	2.4151	2.3602	2.3122	2.2785	2013
90	"Bangladesh"	50	6.359	6.6225	6.804	6.9206	6.9098	6.6301	5.9773	5.0252	4.1122	3.4103	2.868	2.3998	2.1884	2.0266	1.8955	1.7941	1.7172	1.6638	1.6337	1.6263	1.6343	1.6569	1.6794	1.7	1.7267	1.7466	1.7674	1.7829	1.7978	1.8138	2008
91	"Bhutan"	64	6.67	6.67	6.67	6.67	6.67	6.67	6.3885	6.1064	5.0703	4.1287	3.1436	2.5499	2.2521	2.0416	1.8861	1.7708	1.6888	1.6404	1.6175	1.6162	1.6364	1.6649	1.6877	1.7151	1.7391	1.7614	1.7763	1.7931	1.8061	1.8208	2008
92	"India"	356	5.903	5.896	5.822	5.687	5.264	4.889	4.473	4.108	3.72	3.3169	3.1197	2.936	2.7707	2.623	2.5023	2.3993	2.3085	2.2267	2.1528	2.0918	2.0418	1.9992	1.9653	1.94	1.9189	1.9036	1.8943	1.8869	1.8819	1.8819	2008
