"Index"	"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"
79	"Afghanistan"	4	7.7000	7.7000	7.7000	7.7000	7.7000	7.7000	7.8000	7.9000	8.0000	8.0000	7.3494	6.6336	6.2536	5.8449	5.3915	4.8984	4.3860	3.8945	3.4679	3.1263
80	"Bangladesh"	50	6.7000	6.7600	6.8500	6.8500	6.8500	6.6295	5.9245	4.8945	3.9649	3.3037	2.8015	2.3577	2.1962	2.1034	2.0220	1.9497	1.8849	1.8505	1.8500	1.8500
81	"Bhutan"	64	6.6700	6.6700	6.6700	6.6700	6.6700	6.6700	6.4530	6.2630	5.4050	4.2340	3.3790	2.6770	2.3990	2.2010	2.0310	1.8880	1.8500	1.8500	1.8500	1.8500
82	"India"	356	5.9136	5.8961	5.8216	5.6395	5.2640	4.8888	4.4975	4.1500	3.8648	3.4551	3.1132	2.7632	2.5188	2.3022	2.1181	1.9588	1.8552	1.8500	1.8500	1.8500
83	"Iran (Islamic Republic of)"	364	7.0000	7.0000	7.0000	6.8000	6.4000	6.5000	6.6300	5.6200	3.9500	2.5000	2.1200	1.8300	1.7400	1.7900	1.8300	1.8500	1.8500	1.8500	1.8500	1.8500
84	"Kazakhstan"	398	4.4060	4.5550	4.4310	3.6710	3.4590	3.0600	2.9570	3.0330	2.5500	2.0000	2.0060	2.3100	2.2010	2.1080	2.0260	1.9530	1.8880	1.8510	1.8500	1.8500
85	"Kyrgyzstan"	417	4.5090	4.8340	5.3900	5.0110	4.7260	4.0540	4.1010	4.0190	3.6120	2.9860	2.5000	2.5620	2.3930	2.1960	2.0260	1.8850	1.8500	1.8500	1.8500	1.8500
86	"Maldives"	462	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000	6.8000	6.6000	5.2632	3.4474	2.3816	2.0630	1.9360	1.8730	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500
87	"Nepal"	524	6.1529	6.1529	6.1520	6.1297	6.0945	6.0194	5.7465	5.3578	4.9333	4.3642	3.6124	2.9355	2.6625	2.4967	2.3604	2.2453	2.1462	2.0595	1.9826	1.9136
88	"Pakistan"	586	6.6000	6.6000	6.6000	6.8500	7.0000	6.8000	6.6000	6.4494	5.6701	4.9772	4.4369	4.0024	3.5840	3.2027	2.9176	2.6995	2.5267	2.3853	2.2665	2.1646
89	"Sri Lanka"	144	5.8000	5.8000	5.2000	4.7000	4.0000	3.6064	3.1894	2.6789	2.4500	2.1600	2.3302	2.3330	2.2246	2.1280	2.0437	1.9691	1.9023	1.8540	1.8500	1.8500
90	"Tajikistan"	762	5.9950	6.1990	6.3020	6.7190	6.8340	5.8970	5.5430	5.4060	4.8770	4.2900	3.8050	3.4500	3.1280	2.8040	2.5390	2.3190	2.1330	1.9720	1.8590	1.8500
91	"Turkmenistan"	795	5.9950	6.0150	6.7520	6.3430	6.1870	5.3240	4.7900	4.5500	4.0300	3.0300	2.7550	2.4990	2.2850	2.1040	1.9460	1.8520	1.8500	1.8500	1.8500	1.8500
92	"Uzbekistan"	860	5.9700	6.5000	6.8000	6.6000	6.3000	5.5840	4.7260	4.4000	3.8800	3.0500	2.5500	2.2920	2.1870	2.0950	2.0140	1.9420	1.8770	1.8500	1.8500	1.8500
93	"South-Eastern Asia"	920	5.9778	6.1761	6.2080	6.0298	5.5666	4.8377	4.2165	3.6276	3.1294	2.7000	2.4797	2.3197	2.1823	2.0706	2.0168	1.9783	1.9494	1.9255	1.9055	1.8860
94	"Brunei Darussalam"	96	6.9990	6.9990	6.7200	5.9410	5.4010	4.4000	3.8000	3.3700	3.0900	2.7000	2.2770	2.1080	1.9500	1.8530	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500
