"Index"	"Major area, region, country or area"	"country_code"	"reg_code"	"reg_name"	"area_code"	"area_name"	"location_type"	"include_code"
196	"Haiti"	332	915	"Caribbean"	904	"Latin America and the Caribbean"	4	2
197	"Jamaica"	388	915	"Caribbean"	904	"Latin America and the Caribbean"	4	2
198	"Martinique"	474	915	"Caribbean"	904	"Latin America and the Caribbean"	4	2
199	"Montserrat"	500	915	"Caribbean"	904	"Latin America and the Caribbean"	4	2
200	"Netherlands Antilles"	530	915	"Caribbean"	904	"Latin America and the Caribbean"	4	2
201	"Puerto Rico"	630	915	"Caribbean"	904	"Latin America and the Caribbean"	4	2
202	"Saint Kitts and Nevis"	659	915	"Caribbean"	904	"Latin America and the Caribbean"	4	2
203	"Saint Lucia"	662	915	"Caribbean"	904	"Latin America and the Caribbean"	4	2
204	"Saint Vincent and the Grenadines"	670	915	"Caribbean"	904	"Latin America and the Caribbean"	4	2
205	"Trinidad and Tobago"	780	915	"Caribbean"	904	"Latin America and the Caribbean"	4	2
206	"Turks and Caicos Islands"	796	915	"Caribbean"	904	"Latin America and the Caribbean"	4	2
207	"United States Virgin Islands"	850	915	"Caribbean"	904	"Latin America and the Caribbean"	4	2
208	"Central America"	916	916	"Central America"	904	"Latin America and the Caribbean"	3	0
209	"Belize"	84	916	"Central America"	904	"Latin America and the Caribbean"	4	2
210	"Costa Rica"	188	916	"Central America"	904	"Latin America and the Caribbean"	4	2
211	"El Salvador"	222	916	"Central America"	904	"Latin America and the Caribbean"	4	2
212	"Guatemala"	320	916	"Central America"	904	"Latin America and the Caribbean"	4	2
213	"Honduras"	340	916	"Central America"	904	"Latin America and the Caribbean"	4	2
214	"Mexico"	484	916	"Central America"	904	"Latin America and the Caribbean"	4	2
215	"Nicaragua"	558	916	"Central America"	904	"Latin America and the Caribbean"	4	2
216	"Panama"	591	916	"Central America"	904	"Latin America and the Caribbean"	4	2
217	"South America"	931	931	"South America"	904	"Latin America and the Caribbean"	3	0
218	"Argentina"	32	931	"South America"	904	"Latin America and the Caribbean"	4	2
219	"Bolivia (Plurinational State of)"	68	931	"South America"	904	"Latin America and the Caribbean"	4	2
220	"Brazil"	76	931	"South America"	904	"Latin America and the Caribbean"	4	2
221	"Chile"	152	931	"South America"	904	"Latin America and the Caribbean"	4	2
222	"Colombia"	170	931	"South America"	904	"Latin America and the Caribbean"	4	2
223	"Ecuador"	218	931	"South America"	904	"Latin America and the Caribbean"	4	2
224	"Falkland Islands (Malvinas)"	238	931	"South America"	904	"Latin America and the Caribbean"	4	2
225	"French Guiana"	254	931	"South America"	904	"Latin America and the Caribbean"	4	2
226	"Guyana"	328	931	"South America"	904	"Latin America and the Caribbean"	4	2
227	"Paraguay"	600	931	"South America"	904	"Latin America and the Caribbean"	4	2
228	"Peru"	604	931	"South America"	904	"Latin America and the Caribbean"	4	2
229	"Suriname"	740	931	"South America"	904	"Latin America and the Caribbean"	4	2
230	"Uruguay"	858	931	"South America"	904	"Latin America and the Caribbean"	4	2
231	"Venezuela (Bolivarian Republic of)"	862	931	"South America"	904	"Latin America and the Caribbean"	4	2
232	"NORTHERN AMERICA"	905	905	"Northern America"	900	"World"	2	0
233	"Bermuda"	60	905	"Northern America"	905	"Northern America"	4	2
234	"Canada"	124	905	"Northern America"	905	"Northern America"	4	2
235	"Greenland"	304	905	"Northern America"	905	"Northern America"	4	2
236	"Saint Pierre and Miquelon"	666	905	"Northern America"	905	"Northern America"	4	2
237	"United States of America"	840	905	"Northern America"	905	"Northern America"	4	2
238	"OCEANIA"	909	909	"Oceania"	900	"World"	2	0
239	"Australia/New Zealand"	927	927	"Australia/New Zealand"	909	"Oceania"	3	0
240	"Australia"	36	927	"Australia/New Zealand"	909	"Oceania"	4	2
241	"New Zealand"	554	927	"Australia/New Zealand"	909	"Oceania"	4	2
242	"Melanesia"	928	928	"Melanesia"	909	"Oceania"	3	0
243	"Fiji"	242	928	"Melanesia"	909	"Oceania"	4	2
244	"New Caledonia"	540	928	"Melanesia"	909	"Oceania"	4	2
245	"Papua New Guinea"	598	928	"Melanesia"	909	"Oceania"	4	2
246	"Solomon Islands"	90	928	"Melanesia"	909	"Oceania"	4	2
247	"Vanuatu"	548	928	"Melanesia"	909	"Oceania"	4	2
248	"Micronesia"	954	954	"Micronesia"	909	"Oceania"	3	0
249	"Guam"	316	954	"Micronesia"	909	"Oceania"	4	2
250	"Kiribati"	296	954	"Micronesia"	909	"Oceania"	4	2
251	"Marshall Islands"	584	954	"Micronesia"	909	"Oceania"	4	2
252	"Micronesia (Fed. States of)"	583	954	"Micronesia"	909	"Oceania"	4	2
253	"Nauru"	520	954	"Micronesia"	909	"Oceania"	4	2
254	"Northern Mariana Islands"	580	954	"Micronesia"	909	"Oceania"	4	2
255	"Palau"	585	954	"Micronesia"	909	"Oceania"	4	2
256	"Polynesia"	957	957	"Polynesia"	909	"Oceania"	3	0
257	"American Samoa"	16	957	"Polynesia"	909	"Oceania"	4	2
258	"Cook Islands"	184	957	"Polynesia"	909	"Oceania"	4	2
259	"French Polynesia"	258	957	"Polynesia"	909	"Oceania"	4	2
