Country.or.area,ISO.code,Year,DataValue,DataProcess,Estimating.Methods
Azerbaijan,31,1985,2.93,VR,Unknown
Azerbaijan,31,1986,2.94,VR,Unknown
Azerbaijan,31,1987,2.93,VR,Unknown
Azerbaijan,31,1988.5,2.82,VR,Unknown
Azerbaijan,31,1989.5,2.79,VR,Unknown
Azerbaijan,31,1990.5,2.78,VR,Unknown
Azerbaijan,31,1991.5,2.81,VR,Unknown
Azerbaijan,31,1992.5,2.69,VR,Unknown
Azerbaijan,31,1993.5,2.63,VR,Unknown
Azerbaijan,31,1994.5,2.44,VR,Unknown
Azerbaijan,31,1995.5,2.19,VR,Unknown
Azerbaijan,31,1996.5,1.98,VR,Unknown
Azerbaijan,31,1997.5,2.02,VR,Unknown
Azerbaijan,31,1998.5,1.85,VR,Unknown
Azerbaijan,31,1999.5,1.72,VR,Unknown
Azerbaijan,31,2000.5,1.7,VR,Unknown
Azerbaijan,31,2001.5,1.59,VR,Unknown
Azerbaijan,31,2002.5,1.58,VR,Unknown
Azerbaijan,31,2003.5,1.59,VR,Unknown
Azerbaijan,31,2004.5,2.05,VR,Unknown
Azerbaijan,31,2005.5,2.33,VR,Unknown
Azerbaijan,31,2006.5,2.33,VR,Unknown
Azerbaijan,31,2007.5,2.3,VR,Unknown
Azerbaijan,31,1959.5,5,VR,Unknown
Azerbaijan,31,1970.5,4.7,VR,Unknown
Azerbaijan,31,1971.5,4.6,VR,Unknown
Azerbaijan,31,1972.5,4.1,VR,Unknown
Azerbaijan,31,1973.5,4.1,VR,Unknown
Azerbaijan,31,1974.5,4,VR,Unknown
Azerbaijan,31,1975.5,3.7,VR,Unknown
Azerbaijan,31,1976.5,3.9,VR,Unknown
Azerbaijan,31,1977.5,3.8,VR,Unknown
Azerbaijan,31,1978.5,3.6,VR,Unknown
Azerbaijan,31,1979.5,3.5,VR,Unknown
Azerbaijan,31,1980.5,3.3,VR,Unknown
Azerbaijan,31,1981.5,3.2,VR,Unknown
Azerbaijan,31,1982.5,3.1,VR,Unknown
Azerbaijan,31,1983.5,3,VR,Unknown
Azerbaijan,31,1984.5,3,VR,Unknown
Azerbaijan,31,1985.5,2.9,VR,Unknown
Azerbaijan,31,1986.5,2.9,VR,Unknown
Azerbaijan,31,1987.5,2.9,VR,Unknown
Azerbaijan,31,1988.5,2.8,VR,Unknown
Azerbaijan,31,1989.5,2.8,VR,Unknown
Azerbaijan,31,1990.5,2.8,VR,Unknown
Azerbaijan,31,1991.5,2.9,VR,Unknown
Azerbaijan,31,1992.5,2.7,VR,Unknown
Azerbaijan,31,1993.5,2.7,VR,Unknown
Azerbaijan,31,1994.5,2.5,VR,Unknown
Azerbaijan,31,1995.5,2.3,VR,Unknown
Azerbaijan,31,1996.5,2.1,VR,Unknown
Azerbaijan,31,1997.5,2.1,VR,Unknown
Azerbaijan,31,1998.5,2,VR,Unknown
Azerbaijan,31,1999.5,2,VR,Unknown
Azerbaijan,31,2000.5,2,VR,Unknown
Azerbaijan,31,2001.5,1.8,VR,Unknown
Azerbaijan,31,2002.5,1.84,VR,Unknown
Azerbaijan,31,2003.5,1.9,VR,Unknown
Azerbaijan,31,2004.5,2.1,VR,Unknown
Azerbaijan,31,2005.5,2.3,VR,Unknown
Azerbaijan,31,2006.5,2.3,VR,Unknown
Azerbaijan,31,2007.5,2.3,VR,Unknown
Azerbaijan,31,2008.5,2.3,VR,Unknown
Azerbaijan,31,2009.5,2.3,VR,Unknown
Azerbaijan,31,2010.5,2.3,VR,Unknown
Azerbaijan,31,2011.5,2.4,VR,Unknown
Azerbaijan,31,2012.5,2.3,VR,Unknown
Azerbaijan,31,2013.5,2.2,VR,Unknown
Azerbaijan,31,1971,4.56,VR,Unknown
Azerbaijan,31,1972,4.3,VR,Unknown
Azerbaijan,31,1973,4.13,VR,Unknown
Azerbaijan,31,1974,4.03,VR,Unknown
Azerbaijan,31,1975,3.95,VR,Unknown
Azerbaijan,31,1976,3.92,VR,Unknown
Azerbaijan,31,1977,3.82,VR,Unknown
Azerbaijan,31,1978,3.64,VR,Unknown
Azerbaijan,31,1979,3.48,VR,Unknown
Azerbaijan,31,1980,3.33,VR,Unknown
Azerbaijan,31,1981,3.23,VR,Unknown
Azerbaijan,31,1982,3.11,VR,Unknown
Azerbaijan,31,1984,2.98,VR,Unknown
Azerbaijan,31,1985,2.93,VR,Unknown
Azerbaijan,31,1986,2.94,VR,Unknown
Azerbaijan,31,1987,2.93,VR,Unknown
Azerbaijan,31,1988.5,2.82,VR,Unknown
Azerbaijan,31,1989.5,2.79,VR,Unknown
Azerbaijan,31,1990.5,2.78,VR,Unknown
Azerbaijan,31,1991.5,2.81,VR,Unknown
Azerbaijan,31,1992.5,2.69,VR,Unknown
Azerbaijan,31,1993.5,2.63,VR,Unknown
Azerbaijan,31,1994.5,2.44,VR,Unknown
Azerbaijan,31,1995.5,2.19,VR,Unknown
Azerbaijan,31,1996.5,1.98,VR,Unknown
Azerbaijan,31,1997.5,2.02,VR,Unknown
Azerbaijan,31,1998.5,1.85,VR,Unknown
Azerbaijan,31,1999.5,1.72,VR,Unknown
Azerbaijan,31,2000.5,1.7,VR,Unknown
Azerbaijan,31,2001.5,1.59,VR,Unknown
Azerbaijan,31,2002.5,1.58,VR,Unknown
Azerbaijan,31,2003.5,1.59,VR,Unknown
Azerbaijan,31,2004.5,2.05,VR,Unknown
Azerbaijan,31,2005.5,2.33,VR,Unknown
Azerbaijan,31,2006.5,2.33,VR,Unknown
Azerbaijan,31,2007.5,2.3,VR,Unknown
Azerbaijan,31,2008.5,2.25,VR,Unknown
Azerbaijan,31,2009.5,2.26,VR,Unknown
Azerbaijan,31,2010.5,2.27,VR,Unknown
Azerbaijan,31,2011.5,2.38,VR,Unknown
Azerbaijan,31,2012.5,2.34,VR,Unknown
Azerbaijan,31,2013.5,2.22,VR,Unknown
Argentina,32,2010.9,2.4,MICS,Direct
Argentina,32,2008.5,2.41, Others,Direct
Argentina,32,2009.5,2.38, Others,Direct
Argentina,32,2010.5,2.39, Others,Direct
Argentina,32,2011.5,2.38, Others,Direct
Argentina,32,1975.5,1.03, Others,Direct
Argentina,32,1996.5,2.56, Others,Direct
Argentina,32,1997.5,2.58, Others,Direct
Argentina,32,1961.5,2.53, Others,Direct
Argentina,32,1965.5,2.91, Others,Direct
Argentina,32,1966.5,2.69, Others,Direct
Argentina,32,1970.5,3.17, Others,Direct
Argentina,32,1979.5,3.44, Others,Direct
Argentina,32,1980.5,3.28, Others,Direct
Argentina,32,1985.5,3, Others,Direct
